Subject, Start Date, End Date, All Day Event, Start Time, End Time, Location
B5, 27/3/2018, 27/3/2018, True,,,
B5, 20/4/2018, 20/4/2018, True,,,
B5, 24/5/2018, 24/5/2018, True,,,
A6, 4/9/2017, 4/9/2017, True,,,
A6, 20/9/2017, 20/9/2017, True,,,
A6, 11/10/2017, 11/10/2017, True,,,
A6, 30/11/2017, 30/11/2017, True,,,
A6, 4/1/2018, 4/1/2018, True,,,
A6, 22/1/2018, 22/1/2018, True,,,
A6, 7/2/2018, 7/2/2018, True,,,
A6, 8/3/2018, 8/3/2018, True,,,
A6, 28/3/2018, 28/3/2018, True,,,
A6, 23/4/2018, 23/4/2018, True,,,
A6, 28/5/2018, 28/5/2018, True,,,
A6, 13/6/2018, 13/6/2018, True,,,
B6, 21/9/2017, 21/9/2017, True,,,
B6, 12/10/2017, 12/10/2017, True,,,
B6, 15/11/2017, 15/11/2017, True,,,
B6, 4/12/2017, 4/12/2017, True,,,
B6, 5/1/2018, 5/1/2018, True,,,
B6, 8/2/2018, 8/2/2018, True,,,
B6, 29/3/2018, 29/3/2018, True,,,
B6, 29/5/2018, 29/5/2018, True,,,
B6, 14/6/2018, 14/6/2018, True,,,
Digital Design, 9/8/2017, 9/8/2017, False, 07:55 AM, 09:15 AM, 513
Digital Design, 6/9/2017, 6/9/2017, False, 07:55 AM, 09:15 AM, 513
Digital Design, 22/9/2017, 22/9/2017, False, 07:55 AM, 09:15 AM, 513
Digital Design, 13/10/2017, 13/10/2017, False, 07:55 AM, 09:15 AM, 513
Digital Design, 16/11/2017, 16/11/2017, False, 07:55 AM, 09:15 AM, 513
Digital Design, 5/12/2017, 5/12/2017, False, 07:55 AM, 09:15 AM, 513
Digital Design, 8/1/2018, 8/1/2018, False, 07:55 AM, 09:15 AM, 513
Digital Design, 24/1/2018, 24/1/2018, False, 07:55 AM, 09:15 AM, 513
Digital Design, 9/2/2018, 9/2/2018, False, 07:55 AM, 09:15 AM, 513
Digital Design, 14/3/2018, 14/3/2018, False, 07:55 AM, 09:15 AM, 513
Digital Design, 9/4/2018, 9/4/2018, False, 07:55 AM, 09:15 AM, 513
Digital Design, 25/4/2018, 25/4/2018, False, 07:55 AM, 09:15 AM, 513
Digital Design, 30/5/2018, 30/5/2018, False, 07:55 AM, 09:15 AM, 513
Digital Design, 15/6/2018, 15/6/2018, False, 07:55 AM, 09:15 AM, 513
Mathematics, 9/8/2017, 9/8/2017, False, 09:20 AM, 10:35 AM, 524
Mathematics, 6/9/2017, 6/9/2017, False, 09:20 AM, 10:35 AM, 524
Mathematics, 22/9/2017, 22/9/2017, False, 09:20 AM, 10:35 AM, 524
Mathematics, 13/10/2017, 13/10/2017, False, 09:20 AM, 10:35 AM, 524
Mathematics, 16/11/2017, 16/11/2017, False, 09:20 AM, 10:35 AM, 524
Mathematics, 5/12/2017, 5/12/2017, False, 09:20 AM, 10:35 AM, 524
